method,budget,scenario,seed,episode,is_success,is_crash,is_out_of_bounds,is_timeout,return
end_to_end,200000,neutral,0,8,0,0,1,0,-1036.2727426764047
end_to_end,200000,neutral,0,9,1,0,0,0,393.2961234230514
end_to_end,200000,disadvantage,0,0,1,0,0,0,393.11054332001083
end_to_end,200000,disadvantage,0,1,0,0,1,0,-1005.577325575534
end_to_end,200000,disadvantage,0,2,0,0,1,0,-1041.1734173947445
end_to_end,200000,disadvantage,0,3,0,0,1,0,-1037.907488654112
end_to_end,200000,disadvantage,0,4,0,0,1,0,-1037.506206031858
end_to_end,200000,disadvantage,0,5,1,0,0,0,393.6165416173051
end_to_end,200000,disadvantage,0,6,0,0,1,0,-1038.8548175435558
end_to_end,200000,disadvantage,0,7,0,0,1,0,-1041.9616794168328
end_to_end,200000,disadvantage,0,8,0,0,1,0,-1038.631828230195
end_to_end,200000,disadvantage,0,9,1,0,0,0,392.99913001116164
end_to_end,200000,favorable,1,0,0,1,0,0,-846.1016258827315
end_to_end,200000,favorable,1,1,0,1,0,0,-829.7565827118336
end_to_end,200000,favorable,1,2,0,1,0,0,-845.125348693687
end_to_end,200000,favorable,1,3,0,1,0,0,-841.7769430434024
end_to_end,200000,favorable,1,4,0,1,0,0,-772.7112466316087
end_to_end,200000,favorable,1,5,0,1,0,0,-771.0795694610357
end_to_end,200000,favorable,1,6,0,1,0,0,-835.6479995397175
end_to_end,200000,favorable,1,7,0,1,0,0,-846.6770712960977
end_to_end,200000,favorable,1,8,0,1,0,0,-771.2898224763835
end_to_end,200000,favorable,1,9,0,1,0,0,-835.3785507322524
end_to_end,200000,neutral,1,0,0,1,0,0,-852.54388456737
end_to_end,200000,neutral,1,1,0,1,0,0,-832.7829487344787
end_to_end,200000,neutral,1,2,0,1,0,0,-845.5364353510525
end_to_end,200000,neutral,1,3,0,1,0,0,-832.7634343763334
end_to_end,200000,neutral,1,4,0,1,0,0,-832.7422122536856
end_to_end,200000,neutral,1,5,0,1,0,0,-831.7323879154708
end_to_end,200000,neutral,1,6,0,1,0,0,-831.7631546205702
end_to_end,200000,neutral,1,7,0,1,0,0,-842.7859655333245
end_to_end,200000,neutral,1,8,0,1,0,0,-829.8488880475297
end_to_end,200000,neutral,1,9,0,1,0,0,-843.3921502356363
end_to_end,200000,disadvantage,1,0,0,1,0,0,-842.1768478749967
end_to_end,200000,disadvantage,1,1,0,1,0,0,-771.341951870005
end_to_end,200000,disadvantage,1,2,0,1,0,0,-833.8451302399852
end_to_end,200000,disadvantage,1,3,0,1,0,0,-831.4574310911282
end_to_end,200000,disadvantage,1,4,0,1,0,0,-832.43271233065
end_to_end,200000,disadvantage,1,5,0,1,0,0,-843.9501640400641
end_to_end,200000,disadvantage,1,6,0,1,0,0,-831.9832076128951
end_to_end,200000,disadvantage,1,7,0,1,0,0,-831.0432681715124
end_to_end,200000,disadvantage,1,8,0,1,0,0,-832.449660529745
end_to_end,200000,disadvantage,1,9,0,1,0,0,-854.4256582346976
end_to_end,2000000,favorable,0,0,1,0,0,0,390.53146645803065
end_to_end,2000000,favorable,0,1,0,0,1,0,-699.3089433324099
end_to_end,2000000,favorable,0,2,1,0,0,0,390.2984439674022
end_to_end,2000000,favorable,0,3,1,0,0,0,391.02646540891544
end_to_end,2000000,favorable,0,4,0,0,1,0,-756.96516788476
end_to_end,2000000,favorable,0,5,0,0,1,0,-766.2498224455857
end_to_end,2000000,favorable,0,6,0,0,1,0,-699.9114079500876
end_to_end,2000000,favorable,0,7,1,0,0,0,390.8056275796359
end_to_end,2000000,favorable,0,8,0,0,1,0,-764.0597044020442
end_to_end,2000000,favorable,0,9,0,0,1,0,-709.299433818057
end_to_end,2000000,neutral,0,0,1,0,0,0,390.3115868821359
end_to_end,2000000,neutral,0,1,0,0,1,0,-703.8081764542569
end_to_end,2000000,neutral,0,2,1,0,0,0,390.8359785591674
end_to_end,2000000,neutral,0,3,0,0,1,0,-708.6042828071689
end_to_end,2000000,neutral,0,4,0,0,1,0,-707.0383245049388
end_to_end,2000000,neutral,0,5,0,0,1,0,-702.0266830062072
end_to_end,2000000,neutral,0,6,0,0,1,0,-703.7691471682834
end_to_end,2000000,neutral,0,7,1,0,0,0,390.0493402921545
end_to_end,2000000,neutral,0,8,0,0,1,0,-719.9187993813309
end_to_end,2000000,neutral,0,9,1,0,0,0,390.903954152402
end_to_end,2000000,disadvantage,0,0,1,0,0,0,390.78140246415273
end_to_end,2000000,disadvantage,0,1,0,0,1,0,-758.811996883338
end_to_end,2000000,disadvantage,0,2,0,0,1,0,-689.4771161060028
end_to_end,2000000,disadvantage,0,3,0,0,1,0,-703.2841730495221
end_to_end,2000000,disadvantage,0,4,0,0,1,0,-708.9504229710003
end_to_end,2000000,disadvantage,0,5,1,0,0,0,389.87420749045566
end_to_end,2000000,disadvantage,0,6,0,0,1,0,-705.5447599330176
end_to_end,2000000,disadvantage,0,7,0,0,1,0,-708.9470418744475
end_to_end,2000000,disadvantage,0,8,0,0,1,0,-712.895067558992
end_to_end,2000000,disadvantage,0,9,1,0,0,0,390.80199327779064
end_to_end,2000000,favorable,1,0,0,0,1,0,-748.7222843743093
end_to_end,2000000,favorable,1,1,0,0,1,0,-690.1228964980232
end_to_end,2000000,favorable,1,2,0,0,1,0,-748.472871088383
end_to_end,2000000,favorable,1,3,0,0,1,0,-744.9853077879225
end_to_end,2000000,favorable,1,4,0,0,1,0,-692.2213052286424
end_to_end,2000000,favorable,1,5,0,0,1,0,-697.9989825464899
end_to_end,2000000,favorable,1,6,0,0,1,0,-688.4495076179136
end_to_end,2000000,favorable,1,7,0,0,1,0,-747.8482281070122
end_to_end,2000000,favorable,1,8,0,0,1,0,-698.3797680442135
end_to_end,2000000,favorable,1,9,0,0,1,0,-692.6910740136645
end_to_end,2000000,neutral,1,0,0,0,1,0,-735.6717627002843
end_to_end,2000000,neutral,1,1,0,0,1,0,-691.7346593786108
end_to_end,2000000,neutral,1,2,0,0,1,0,-747.0977448116131
end_to_end,2000000,neutral,1,3,0,0,1,0,-690.3315351308659
end_to_end,2000000,neutral,1,4,0,0,1,0,-692.0091904546023
end_to_end,2000000,neutral,1,5,0,0,1,0,-690.0333779301675
end_to_end,2000000,neutral,1,6,0,0,1,0,-689.2916598741967
end_to_end,2000000,neutral,1,7,0,0,1,0,-736.7968460217486
end_to_end,2000000,neutral,1,8,0,0,1,0,-694.070505358327
end_to_end,2000000,neutral,1,9,0,0,1,0,-749.9686012148622
end_to_end,2000000,disadvantage,1,0,0,0,1,0,-746.0961935426149
end_to_end,2000000,disadvantage,1,1,0,0,1,0,-694.4434710445548
end_to_end,2000000,disadvantage,1,2,0,0,1,0,-689.2120871809955
end_to_end,2000000,disadvantage,1,3,0,0,1,0,-691.8969560640763
end_to_end,2000000,disadvantage,1,4,0,0,1,0,-689.6999771605394
end_to_end,2000000,disadvantage,1,5,0,0,1,0,-727.6374531314893
end_to_end,2000000,disadvantage,1,6,0,0,1,0,-688.9096043790631
end_to_end,2000000,disadvantage,1,7,0,0,1,0,-691.5518427902136
end_to_end,2000000,disadvantage,1,8,0,0,1,0,-692.2619020503281
end_to_end,2000000,disadvantage,1,9,0,0,1,0,-728.0016453127789
end_to_end,500000,favorable,0,0,0,0,1,0,-764.7423229955145
end_to_end,500000,favorable,0,1,0,0,1,0,-686.2005000238385
end_to_end,500000,favorable,0,2,0,0,1,0,-773.6064259205023
end_to_end,500000,favorable,0,3,0,0,1,0,-765.5785357013431
end_to_end,500000,favorable,0,4,0,0,1,0,-743.8683585870479
end_to_end,500000,favorable,0,5,0,0,1,0,-756.1105378431998
end_to_end,500000,favorable,0,6,0,0,1,0,-683.270131838003
end_to_end,500000,favorable,0,7,0,0,1,0,-762.846783479686
end_to_end,500000,favorable,0,8,0,0,1,0,-759.7824834910199
end_to_end,500000,favorable,0,9,0,0,1,0,-689.8160813064273
end_to_end,500000,neutral,0,0,0,0,1,0,-736.939578047076
end_to_end,500000,neutral,0,1,0,0,1,0,-683.9774552812115
end_to_end,500000,neutral,0,2,0,0,1,0,-760.5847508139504
end_to_end,500000,neutral,0,3,0,0,1,0,-687.8334964524643
end_to_end,500000,neutral,0,4,0,0,1,0,-686.6166169713865
end_to_end,500000,neutral,0,5,0,0,1,0,-686.3110939356752
end_to_end,500000,neutral,0,6,0,0,1,0,-681.1692597218246
end_to_end,500000,neutral,0,7,0,0,1,0,-738.1816436588626
end_to_end,500000,neutral,0,8,0,0,1,0,-688.1920097284724
end_to_end,500000,neutral,0,9,0,0,1,0,-769.6352061556643
end_to_end,500000,disadvantage,0,0,0,0,1,0,-764.7459034283359
end_to_end,500000,disadvantage,0,1,0,0,1,0,-747.5165692857399
end_to_end,500000,disadvantage,0,2,0,0,1,0,-680.9371635390654
end_to_end,500000,disadvantage,0,3,0,0,1,0,-688.266265981329
end_to_end,500000,disadvantage,0,4,0,0,1,0,-684.0490519167926
end_to_end,500000,disadvantage,0,5,0,0,1,0,-735.228022494622
end_to_end,500000,disadvantage,0,6,0,0,1,0,-683.0714475379916
end_to_end,500000,disadvantage,0,7,0,0,1,0,-687.2429404088493
end_to_end,500000,disadvantage,0,8,0,0,1,0,-688.5062412764803
end_to_end,500000,disadvantage,0,9,0,0,1,0,-735.9782261600157
end_to_end,500000,favorable,1,0,0,0,1,0,-964.3919567678602
end_to_end,500000,favorable,1,1,0,1,0,0,-880.1691098545259
end_to_end,500000,favorable,1,2,0,0,1,0,-972.069127758734
end_to_end,500000,favorable,1,3,0,0,1,0,-991.6615113026346
end_to_end,500000,favorable,1,4,0,1,0,0,-820.6676115050157
end_to_end,500000,favorable,1,5,0,1,0,0,-816.4142073135332
end_to_end,500000,favorable,1,6,0,1,0,0,-880.6600465063962
end_to_end,500000,favorable,1,7,0,0,1,0,-969.0034582483555
end_to_end,500000,favorable,1,8,0,1,0,0,-817.981657865346
end_to_end,500000,favorable,1,9,0,1,0,0,-882.1342788083043
end_to_end,500000,neutral,1,0,0,0,1,0,-974.4655377702
end_to_end,500000,neutral,1,1,0,1,0,0,-884.1308717044144
end_to_end,500000,neutral,1,2,0,0,1,0,-985.5443847368842
end_to_end,500000,neutral,1,3,0,1,0,0,-881.5081654455942
end_to_end,500000,neutral,1,4,0,1,0,0,-881.1002334910715
end_to_end,500000,neutral,1,5,0,1,0,0,-879.0018420145459
end_to_end,500000,neutral,1,6,0,1,0,0,-883.088514249197
end_to_end,500000,neutral,1,7,0,0,1,0,-962.6242311011788
end_to_end,500000,neutral,1,8,0,1,0,0,-881.9641864111488
end_to_end,500000,neutral,1,9,0,0,1,0,-978.9140503569555
end_to_end,500000,disadvantage,1,0,0,0,1,0,-951.0393452038609
end_to_end,500000,disadvantage,1,1,0,1,0,0,-816.9223197479587
end_to_end,500000,disadvantage,1,2,0,0,1,0,-888.4118597246141
end_to_end,500000,disadvantage,1,3,0,1,0,0,-883.3862199890475
end_to_end,500000,disadvantage,1,4,0,1,0,0,-882.7333713362641
end_to_end,500000,disadvantage,1,5,0,0,1,0,-964.7721663448543
end_to_end,500000,disadvantage,1,6,0,1,0,0,-878.6135612256259
end_to_end,500000,disadvantage,1,7,0,1,0,0,-879.3824782021595
end_to_end,500000,disadvantage,1,8,0,1,0,0,-885.535658992347
end_to_end,500000,disadvantage,1,9,0,0,1,0,-970.0896147137396
