source_id,opponent,scenario_signature,scenario_seed,distance_speed_package,height_condition,mirror_sign,initial_range_m,own_speed_mps,target_speed_mps,candidate_handoff_reached,candidate_handoff_step,candidate_valid_target_steps,candidate_qualification_reason,candidate_intent_loss_auc20,candidate_range_opening_fraction_auc20,candidate_specific_energy_height_delta_m_at_20,candidate_target_attack_zone_exposure_fraction_auc20,candidate_ego_attack_zone_exposure_fraction_auc20,candidate_terminal_reason,candidate_ego_failure,candidate_ego_hp,candidate_target_hp,head_on_handoff_reached,head_on_handoff_step,head_on_valid_target_steps,head_on_qualification_reason,head_on_intent_loss_auc20,head_on_range_opening_fraction_auc20,head_on_specific_energy_height_delta_m_at_20,head_on_target_attack_zone_exposure_fraction_auc20,head_on_ego_attack_zone_exposure_fraction_auc20,head_on_terminal_reason,head_on_ego_failure,head_on_ego_hp,head_on_target_hp,crossing_handoff_reached,crossing_handoff_step,crossing_valid_target_steps,crossing_qualification_reason,crossing_intent_loss_auc20,crossing_range_opening_fraction_auc20,crossing_specific_energy_height_delta_m_at_20,crossing_target_attack_zone_exposure_fraction_auc20,crossing_ego_attack_zone_exposure_fraction_auc20,crossing_terminal_reason,crossing_ego_failure,crossing_ego_hp,crossing_target_hp,all_method_handoff_metadata_equivalent,candidate_head_pairable,candidate_crossing_pairable,candidate_head_handoff_metadata_equivalent,candidate_crossing_handoff_metadata_equivalent,candidate_head_strict_pairable,candidate_crossing_strict_pairable,candidate_minus_head_on_delta_loose,candidate_minus_crossing_delta_loose,candidate_minus_head_on_delta_strict,candidate_minus_crossing_delta_strict,candidate_specific_ego_failure,candidate_specific_failure_same_handoff,attribution_tags
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_a|co_altitude|negative,82602,defext_hold_a,co_altitude,negative,1075.000000000381,175.0,345.0,True,222,39,qualifying,0.6891586012310452,0.85,1581.574951171875,0.0,0.0,timeout_hp_advantage,False,85.5,85.0,True,250,11,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_advantage,False,85.5,75.0,True,243,18,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_advantage,False,85.5,71.5,False,False,False,False,False,False,False,,,,,False,False,pre_handoff_pairing_mismatch;non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_a|co_altitude|positive,82603,defext_hold_a,co_altitude,positive,1075.000000000381,175.0,345.0,True,215,46,qualifying,0.7223637368943956,0.15,1989.3961181640625,0.0,0.0,timeout_hp_disadvantage,False,84.5,88.0,True,219,16,insufficient_valid_target_steps,,0.0,,0.0,0.0,timeout_hp_disadvantage,False,80.0,88.0,True,211,50,qualifying,0.6559813366995918,0.05,1679.6126708984375,0.0,0.0,timeout_hp_disadvantage,False,84.5,88.5,False,False,True,False,False,False,False,,0.06638240019480379,,,False,False,pre_handoff_pairing_mismatch
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_a|own_above|negative,82604,defext_hold_a,own_above,negative,1074.999999999842,175.0,345.0,False,,0,no_handoff,,,,,,timeout_hp_disadvantage,False,,,True,246,15,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,85.5,90.5,True,241,20,qualifying,0.5290314965777928,1.0,1571.382080078125,0.0,0.0,timeout_hp_disadvantage,False,85.5,87.5,False,False,False,False,False,False,False,,,,,False,False,pre_handoff_pairing_mismatch;non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_a|own_above|positive,82605,defext_hold_a,own_above,positive,1074.999999999842,175.0,345.0,False,,0,no_handoff,,,,,,timeout_hp_advantage,False,,,False,,0,no_handoff,,,,,,timeout_hp_disadvantage,False,,,False,,0,no_handoff,,,,,,timeout_hp_advantage,False,,,False,False,False,False,True,False,False,,,,,False,False,pre_handoff_pairing_mismatch;non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_a|own_below|negative,82600,defext_hold_a,own_below,negative,1074.999999999842,175.0,345.0,True,222,39,qualifying,0.8078911410437689,1.0,2990.51025390625,0.0,0.0,timeout_hp_advantage,False,80.5,69.5,True,222,39,qualifying,0.8078913900587293,1.0,2990.6142578125,0.0,0.0,timeout_hp_advantage,False,80.5,69.5,True,222,39,qualifying,0.8081802553600734,1.0,2942.479248046875,0.0,0.0,timeout_hp_advantage,False,80.5,69.5,True,True,True,True,True,True,True,-2.4901496042950555e-07,-0.00028911431630451734,-2.4901496042950555e-07,-0.00028911431630451734,False,False,existing_crossing_geometry_overlap
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_a|own_below|positive,82601,defext_hold_a,own_below,positive,1074.999999999842,175.0,345.0,True,173,27,qualifying,0.5171736227141486,0.45,981.9031372070312,0.0,0.0,timeout_hp_disadvantage,False,57.5,75.0,True,174,26,qualifying,0.5594747834735446,0.45,1135.684326171875,0.0,0.0,timeout_hp_disadvantage,False,56.5,74.0,True,172,26,qualifying,0.5168837123446994,0.35,958.6828002929688,0.0,0.0,timeout_hp_disadvantage,False,58.0,75.0,False,True,True,False,False,False,False,-0.04230116075939605,0.0002899103694491423,,,False,False,pre_handoff_pairing_mismatch;existing_crossing_geometry_overlap
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_b|co_altitude|negative,82608,defext_hold_b,co_altitude,negative,1524.999999999575,195.0,395.0,True,49,2,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_advantage,False,78.0,70.5,True,49,16,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,78.0,91.0,True,49,2,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,78.0,91.0,True,False,False,True,True,False,False,,,,,False,False,non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_b|co_altitude|positive,82609,defext_hold_b,co_altitude,positive,1524.999999999575,195.0,395.0,True,49,49,qualifying,0.7007709317737155,0.45,1437.081298828125,0.15,0.0,timeout_hp_disadvantage,False,65.0,100.0,True,49,41,qualifying,0.7170003467135959,0.35,1892.0023193359375,0.0,0.0,timeout_hp_disadvantage,False,78.5,90.0,True,49,4,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,78.5,88.5,True,True,False,True,True,True,False,-0.016229414939880393,,-0.016229414939880393,,False,False,none
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_b|own_above|negative,82610,defext_hold_b,own_above,negative,1525.0000000002517,195.0,395.0,True,46,74,qualifying,0.6860469288296168,1.0,-1228.9971923828125,0.0,0.0,timeout_hp_disadvantage,False,70.0,100.0,True,46,23,qualifying,0.6817105107837252,0.85,-1258.1181640625,0.0,0.0,timeout_hp_disadvantage,False,79.0,91.5,True,46,28,qualifying,0.6796061833699544,0.9,-1252.7584228515625,0.0,0.0,timeout_hp_disadvantage,False,67.5,77.0,True,True,True,True,True,True,True,0.004336418045891577,0.006440745459662445,0.004336418045891577,0.006440745459662445,False,False,existing_crossing_geometry_overlap
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_b|own_above|positive,82611,defext_hold_b,own_above,positive,1525.0000000002517,195.0,395.0,True,46,96,qualifying,0.6683640056186253,0.75,1510.9979248046875,0.0,0.0,timeout_hp_disadvantage,False,57.5,100.0,True,46,6,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,80.0,89.5,True,46,34,qualifying,0.7091968350940281,0.5,1584.9639892578125,0.2,0.0,timeout_hp_disadvantage,False,66.0,100.0,True,False,True,True,True,False,True,,-0.04083282947540279,,-0.04083282947540279,False,False,existing_crossing_geometry_overlap
