budget,seed,n_episodes,success_rate,mean_return
200000,0,30,0.36666666666666664,-509.0663635170851
200000,1,30,0.0,-829.2180751366627
500000,0,30,0.0,-720.026836799413
500000,1,30,0.0,-906.2793859564122
1000000,0,30,0.36666666666666664,-309.122333047016
1000000,1,30,0.0,-832.3385866404366
2000000,0,30,0.36666666666666664,-311.0883334999736
2000000,1,30,0.0,-710.2203080279503
